iter	Passed	Remaining
0	31	31380
1	67	33693
2	99	33120
3	130	32613
4	165	32985
5	199	33021
6	230	32665
7	258	32084
8	294	32473
9	326	32361
10	357	32144
11	393	32360
12	424	32228
13	451	31817
14	483	31773
15	513	31605
16	542	31380
17	578	31564
18	615	31759
19	646	31675
20	675	31473
21	746	33187
22	784	33339
23	828	33681
24	896	34973
25	936	35075
26	977	35230
27	1014	35220
28	1053	35268
29	1089	35231
30	1127	35240
31	1165	35250
32	1202	35231
33	1241	35271
34	1283	35395
35	1318	35314
36	1356	35301
37	1393	35267
38	1426	35146
39	1463	35118
40	1500	35090
41	1532	34962
42	1565	34849
43	1603	34845
44	1635	34715
45	1670	34654
46	1704	34567
47	1737	34468
48	1771	34375
