iter	RMSE
0	21.17106739
1	20.22313032
2	19.30664456
3	18.43422446
4	17.60778396
5	16.82817483
6	16.08487929
7	15.37207486
8	14.7006937
9	14.07119969
10	13.46026607
11	12.86404639
12	12.30966506
13	11.77608982
14	11.27028429
15	10.78771896
16	10.34270314
17	9.909408698
18	9.492626872
19	9.10073917
20	8.714599489
21	8.343442104
22	7.9953201
23	7.653247537
24	7.328165998
25	7.026723883
26	6.752961959
27	6.489634347
28	6.221830652
29	5.973365429
30	5.724134927
31	5.494441475
32	5.267121998
33	5.068475821
34	4.883524974
35	4.696745559
36	4.518827977
37	4.353938691
38	4.199280708
39	4.05247549
40	3.904711176
41	3.765809045
42	3.628504585
43	3.507952228
44	3.402478575
45	3.297732986
46	3.191656922
47	3.093665931
48	2.992141333
